,Unnamed: 0,id,label,text,triple
0,0,2635.json,False,Says the Annies List political group supports thirdtrimester abortions on demand.,NaN
1,1,10540.json,True,When did the decline of coal start? It started when natural gas took off that started to begin in President George W. Bushs administration.,NaN
2,2,324.json,True,Hillary Clinton agrees with John McCain by voting to give George Bush the benefit of the doubt on Iran.,NaN
3,3,1123.json,False,Health care reform legislation is likely to mandate free sex change surgeries.,NaN
4,4,9028.json,True,The economic turnaround started at the end of my term.,NaN
5,5,12465.json,True,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured UW faculty fired during the last two decades.,NaN
6,6,2342.json,False,Jim Dunnam has not lived in the district he represents for years now.,NaN
7,7,153.json,True,"Im the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",NaN
8,8,5602.json,True,"However, it took 19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations CenterPacific.",NaN
9,9,9741.json,True,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost 788 million in higher electricity costs.,NaN
10,10,7115.json,True,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",NaN
11,11,4148.json,True,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",NaN
12,12,5947.json,False,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",NaN
13,13,8616.json,True,The economy bled 24 billion due to the government shutdown.,NaN
14,14,8705.json,False,Most of the Affordable Care Act has already in some sense been waived or otherwise suspended.,NaN
15,15,10683.json,True,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, and 75 percent of lowincome workers chose not to vote.",NaN
16,16,620.json,True,McCain opposed a requirement that the government buy Americanmade motorcycles. And he said all buyAmerican provisions were quote disgraceful. ,NaN
17,17,3863.json,False,"U.S. Rep. Ron Kind, DWis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",NaN
