,Unnamed: 0,id,label,text,triple
2600,2600.0,8027.json,False,Women still earn about 77 cents for every dollar a man earns for working the same job.,NaN
2601,2601.0,12872.json,False,Donald Trump says all Mexicans are rapists.,NaN
2602,2602.0,1585.json,True,House Speaker Nancy Pelosi said this week that the Democrats have to pass their terrible health care bill so that the American people can actually find out whats in it.,NaN
2603,2603.0,3417.json,False,2008 Unions Spent 400 Million to Elect Obama.,NaN
2604,2604.0,7804.json,False,Says Texas high school graduates must pass Algebra II to be eligible for automatic admission to states public universities.,NaN
2605,2605.0,9696.json,True,"Israel in the last three weeks haskilled more Palestinian children, more than 200, than the total number of Israeli soldiers killed in military operations since 2006.",NaN
2606,2606.0,1546.json,True,Our graduation rate is the highest its ever been.,NaN
2607,2607.0,10305.json,False,"Terrorist detainees were not covered by the Geneva Convention. They were unlawful combatants. And under those circumstances, they were not entitled to the normal kinds of courtesies and treatment.",NaN
2608,2608.0,13219.json,True,"Says Patrick Murphy supports a gun ban on commonly owned semiautomatic firearms used for hunting, recreational shooting and self defense.",NaN
2609,2609.0,8739.json,True,"There are many studies that indicate that the longer people get unemployment insurance, it provides some disincentive to work.",NaN
2610,2610.0,9040.json,False,"Says Mary Burkes 200709 state budget had a tax hike of 1.8 billion  costing every man, woman and child in the state an extra 310.",NaN
2611,2611.0,6149.json,True,"Under current law, if you go on a dating website and you say youre 32 and youre actually 42, youve committed a misdemeanor.",NaN
2612,2612.0,7824.json,True,The proposed raises for the Norcross City Council would put it in line with other likedsized communities.,NaN
2613,2613.0,3505.json,True,"There has never been a death caused by a commercial nuclear reactor in the United States, even when Three Mile Island failed in the 1970s.",NaN
2614,2614.0,408.json,True,"Obama spent 40 percent of the PAC money, 43 percent to be exact, on Iowa, New Hampshire, Nevada and South Carolina politicians.",NaN
2615,2615.0,1429.json,True,"For the first time in history, my administration posts our White House visitors online.",NaN
2616,2616.0,7358.json,True,Says Texas ranks last in the percentage of residents with high school diplomas.,NaN
2617,2617.0,12887.json,False,The climate hasnt warmed in quite a few years. That is proven scientifically.,NaN
2618,2618.0,6632.json,True,Says Bruce Springsteen played in 1975 at Seton Hall University in South Orange at Walsh gym.,NaN
2619,2619.0,2898.json,True,"In the fall of 2009, only 21 percent of Texas high school graduates enrolled in a fouryear public university.",NaN
2620,2620.0,9171.json,False,A North Carolina study proves that probably over a million people voted twice in the 2012 election.,NaN
2621,2621.0,2033.json,False,Tarpon Springs takes its homeless to St. Petersburg.,NaN
2622,2622.0,2208.json,True,The overall fact about illegal immigration is that its not actually getting worse.,NaN
2623,2623.0,11163.json,False,Says Hillary Clinton has been in office and in government longer than anybody else running here tonight.,NaN
2624,2624.0,9895.json,True,More people are apprehended after illegally crossing the U.S.Mexico border a week than are born in Texas each week.,NaN
2625,2625.0,3801.json,True,"For more than 30 years after World War II, there was a steady reduction in U.S. debt as a percentage of gross domestic product.",NaN
2626,2626.0,303.json,True,"While I was working on those streets watching those folks see their jobs shift overseas, you were a corporate lawyer sitting on the board at WalMart.",NaN
